Logs del sistema
PiTBY | Vaca, Joselito | Ha actualizado el paciente de CI: 37532901 Nombre: Souza, Iliana
PiTBY | Vaca, Joselito | Ha eliminado una cirugia al paciente de CI: 21152903 con ID: EHeDh
PiTBY | Vaca, Joselito | Ha ingresado el paciente de CI: 17213979 Nombre: Nicoli, Edgar
PiTBY | Vaca, Joselito | Ha eliminado el paciente de CI: 17213979 Nombre: Nicoli, Edgar
PiTBY | Vaca, Joselito | Ha ingresado el paciente de CI: 17213979 Nombre: Nicoli, Edgar
PiTBY | Vaca, Joselito | Ha eliminado el paciente de CI: 17213979 Nombre: Nicoli, Edgar
PiTBY | Vaca, Joselito | Ha ingresado el paciente de CI: 17213979 Nombre: Nicoli, Edgar
PiTBY | Vaca, Joselito | Ha actualizado una cirugia al paciente de CI: 21152903 con ID: 0CLOV
PiTBY | Vaca, Joselito | Ha registrado una cirugia al paciente de CI: 21152903 con ID: WCLxO
PiTBY | Vaca, Joselito | Ha actualizado el paciente de CI: 37532901 Nombre: Souza, Iliana
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 19997653 con ID: 4gukN
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 41239876 con ID: cgjga
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 19997653 con ID: 4gukN
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 19997653 con ID: 4gukN
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 6222990 con ID: Uz9Hy
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 6222990 Nombre: Hoiffer, Humberto
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 6222990 Nombre: Hoiffer, Humberto
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 57776663 Nombre: Juarez, Doldana
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 57776663 Nombre: Juarez, Doldana
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 6222990 Nombre: Hoiffer, Humberto
HFeYt | Nicoli, Edgar | Ha actualizado el paciente de CI: 57776663 Nombre: Juarez, Doldana
HFeYt | Nicoli, Edgar | Ha actualizado una cirugia al paciente de CI: 36665438 con ID: 0WDux
